Poem,Meaning
"The t(rain)again this morning, sky always gray,grain cars f(lying)like blackbirds with fieldseedin their bellies.The eight o five carryingg(rain)sings like tribeswhen they migrated north in summeracross the plainsfollowing tracks of herds.High water into trees.The lake full of rain.We say it is someone elsepushing down on the laketo make it spill over its edge.While we waitthe woman earth sings with the tribes,transforms herselfinto all things.After the trainb(rush) burning, the delay of smokein the car comes afterwe have passed like sound.Rain hangs fringe from earth woman’s dress.She holds the delay of truthuntil it comes from our mouths.Coyotes sleep on her lap,birds fly into the b(ranches) of her hairwhile farther down the roadthe black snake train wiggles behind her ear.","A lament for lost connection and responsibility, where nature embodies a primal wisdom beyond human control and blame."
"With her hair closely cropped up to the napeLike Dorian Apollo’s, the girl lay on the narrowPallet, keeping her limbs stiffly frozenWithin a heavy cloud she could not escape...Artemis emptied her quiver—every arrowShot through her body. And though very soonShe’d be no virgin, like cold honeycomb,Her virgin thighs still kept her pleasure sealed...As if to the arena, the youth cameOiled with myrrh, and like a wrestler kneeledTo pin her down; and although he broke pastHer arms that she had thrust against his chest,Only much later, with one cry, face to face,Did they join lips, and out of their sweat, embrace...","This intense encounter explores the loss of innocence and the inevitable transition from youthful vulnerability to passionate, perhaps destructive, union."
"IF ANYONE KNOWS WHAT IS GOING ON EVER THEN HEYI AM HERE IT WOULD BE NICE TO TALK SOMETIMEINFOMERCIALS HAVE STARTED AND I KIND OF WANT TO DIEI’M PRETTY SURE THIS ONE IS ACTUALLY FOR A MORGUE OK SO ACTUALLY IT’S FOR THE BIBLE OR SOMETHINGSO IT’S A COMMERICAL FOR TRYING TO BE HAPPY OR SOMETHINGBUT I AM NOT HAPPY TONIGHT NO I AM NOT JUST HEREIF HAPPINESS EVER WORKED THEN HOW—I DON’T KNOW HAPPINESS IS A LIZARD IN THE SUNLIGHT GETTING WARMAND THEN IN THE NIGHT BENEATH A ROCK EATING FLIESAND SWALLLOWING THE MEAT OF THE TRASH OF THE DIRT AH, SO TONIGHT IS A LITTLE DRUNK AND OK OK OKTHAT IS GOOD SO LET ME BE—THERE IS NO LOVE TONIGHTGOD IS LIKE BONO—SOME DICKWAD NO ONE WILL EVER MEET OR LIKE","A desperate lament reveals a profound disillusionment with societal expectations of happiness and faith, ultimately yearning for authentic experience."
"The grave has more power than the eyes of the beloved.An open grave with all its magnets.This weight on the wings. The sky is waiting for an airship.I have the feeling that I haven’t got much life left.Three hours after the celestial attack.Why don’t I respond when I’m being offended?Because my religion doesn’t allow me to.Exterior maps: geography. Interior maps: psychography.And in your hard cathedral I kneel.Mountains pass camels passlike the history of wars in antiquity.Of all the men I am, I can’t find any of themwithout the control of the intruding eye.Problems. Mysteries that fasten themselves to my chest.All I want is not to see businesses nor gardensnor markets nor eyeglasses nor elevators.In order to serve all radio listeners,without discriminating between social classes, I speak a tonguethat fills hearts with the law of communicating clouds.I have my brain or whatever it is full of skull moths.For the world to go on being what it is it must—per force—take another form.True poems are fires. When something cherished burnsinstead of the fireman I call, rushes forth the incendiary.It says: live, live, live!It is Death.","Loss and disillusionment dominate, portraying a soul overwhelmed by grief’s relentless power and the inescapable scrutiny of mortality."
"In the next scene Walt Whitmanis walking around BostonCommon. He’s young.It’s winter. Emersonis there. They walkand talk for hours, or reallyEmerson talks. He scoldsWhitman for slaveringafter tree knots and bobbingwith the swimmer. Whitman nodsbut in his head he’s busytallying his orgasms.At the carouselan ancient Puritan is passinghis hat, singing, “Kill It Babe.”Dozens of geese have gatheredon the frozen pond,standing on one leg,tucking the other like a daggerinto their feathery centers.Well, Emerson asks the poet,what do you have to say for yourself?And Whitman, respectfully,but sure nowall the way down in his boneswhere the deep, frontier feelingof disobedience lives, says,essentially, go fuck yourself.I’ll go my own way.",A defiant embrace of individual experience over societal expectations and established wisdom emerges from this encounter.
The bottoms of my shoes      are clean From walking in the rain,"Ephemeral joy and the fleeting nature of happiness are revealed through simple, transient experiences like a walk in the rain."
"1    Dear Milton,      Rain. But when you are here, alone, what does it      mean. It means psalm — that song sung to the harp.      Like trees, we too hold on to the earth — pull and      twang for another tongue. It (whatever it is, and      who knows that) is a sacred song. It is strange for      we are the ones who glorify mystery with our arms.      We call it testament because it pries at our souls      with many branches, and so you say with a huge      eye, we must practice our art like the third stomach      of a cud-chewing animal:                     “Myrtle, Woodbine, Appletrees, Trillium,                      here they are, the strength of your arm                      stalls at the open gate of the stars.                      Feel everything, trust everything!”",The poem explores humanity's yearning for connection with the divine through embracing the unknown and accepting profound mystery.
"Isn’t it shocking how he speaks for her?His thin voice wavering across the restaurant — she’ll have the cod artichoke bake.A giggle of  bubbles comes from behind them:a fish tank curtained with seagrasswhere a seahorse is tying itselfto one of those slim, tweedy formslike a hand shaping itself  inside another’sthe way my hand tucks into hislike a difference pretending it’s not.",The poem explores the subtle yet profound discomfort of witnessing an unequal dynamic and unspoken power imbalance in intimacy.
"Through your lens the sequoia swallowed me   like a dryad. The camera flashed & forgot.I, on the other hand, must practice my absent-mindedness, memory being awkward as a touch   that goes unloved. Lately your eyes have shutdown to a shade more durable than skin’s. I know you   love distance, how it smooths. You choose an aerial view,   the city angled to abstraction, while I go for the close   exposures: poorly-mounted countenances along Broadway,   the pigweed cracking each hardscrabble backlot.   It’s a matter of perspective: yours is to love me   from a block away & mine is to praise the grain-iness that weaves expressively: your face.","The poem explores the growing emotional distance between two people, one seeking detachment and the other yearning for intimate connection."
"I like to find   what's not found   at once, but lieswithin something of another nature,   in repose, distinct.   Gull feathers of glass, hiddenin white pulp: the bones of squid   which I pull out and layblade by blade on the draining board—       tapered as if for swiftness, to pierce          the heart, but fragile, substance       belying design.               Or a fruit, mamey,cased in rough brown peel, the flesh   rose-amber, and the seed:the seed a stone of wood, carved andpolished, walnut-colored, formed   like a brazilnut, but large,large enough to fillthe hungry palm of a hand.I like the juicy stem of grass that growswithin the coarser leaf folded round,and the butteryellow glowin the narrow flute from which the morning-glory   opens blue and cool on a hot morning.",Unexpected beauty resides in observing quiet details—nature’s subtle forms reveal profound fascination and inherent worth.
"—Once more the poem woke me up,the dark poem. I was ready for it;he was sleeping,         and across the cabin, the small furnacelit and re-lit itself—the flame a yellow      “tongue” again, the metal benignlyhard again;and a thousand insects outside called      and made me nothing;moonlight streamed inside as if it had been ...         I looked around, I thought of the lower wisdom,spirit held by matter:      Mary, white as a sand dollar,and Christ, his sticky halo tilted—      oh, to get behind it!The world had been created to comprehend itselfas matter: table, the tornveils of spiders ... Even consciousness—missing my love—was matter, the metal box of a furnace.As the obligated flame, so burned my life ...         What is the meaning of this suffering I askedand the voice—not Christ but between us—said you are the meaning.No no, I replied, Thatis the shape, what is the meaning.You are the meaning, it said—",The poem explores existential dread and the search for purpose amidst a sense of being trapped within material existence and loss.
"...this insignificant interval between death and dying.One cannot accept or refuse, O death, emptiness, air, sun.The ""I"" is the miracle of the ""You.""   ""This follows from a certain logic,"" he said: ""the 'I' to designate the 'You,' the 'You' to justify the 'I,' and 'He' for disappearing.""   There is no present. There is a past haunted by the future and a future tormented by the past.   The present is the time of writing, both obsessed with and cut off from an out-of-time brimming with life.                              (Now that all is silent within me, will I, who have                         hardly known how to talk to myself, still be able to                         speak? I almost cannot hear myself any more. On this                         'almost' I shall rest my words or, rather, what stub-                         bornly still wants to be words—though they be deaf                         to the call of the world—an take entire charge of                         them. Expressing nothing, they will express me all the                         better.)","The poem explores the cyclical nature of existence, where identity emerges from connection and is perpetually haunted by time’s relentless passage."
"I strip the porch roof, pick out the usednails, and toss the shingles down onto a drop cloth, remembering when I shingledmy grandmother's roof fifty years ago: the tar smell, the brackets, planks, andladders all the same, but level now with hemlock limbs instead of locust.I lug four shingles up the ladder, kneel and drive the old nails home, slideanother shingle into place, pound, toes bent, knees creaking. Miserliness,a friend jokes about the nails, but I call it caring, thinking of the man who gaveus this land on the cove, the cottage, the boat- house full of boats. The only time I sawhim he was at his work bench, a rich man straightening nails, moving fromthe bent can to the anvil to the straight.",Preserving a tangible connection to family history through meticulous labor represents enduring love and honoring legacy.
"Maud went to college.Sadie stayed at home.Sadie scraped lifeWith a fine-tooth comb.She didn’t leave a tangle in.Her comb found every strand.Sadie was one of the livingest chitsIn all the land.Sadie bore two babiesUnder her maiden name.Maud and Ma and PapaNearly died of shame.When Sadie said her last so-longHer girls struck out from home.(Sadie had left as heritageHer fine-tooth comb.)Maud, who went to college,Is a thin brown mouse.She is living all aloneIn this old house.","Ultimately, the poem explores the divergent paths of ambition and contentment, revealing the bittersweet consequences of choosing different lives."
"One does not want,O Lord, to heapUp by still watersOf words a cairnBut hopes to attendA small covertOf tamariskWhose leaves saltyYet featheryWill shed light overA thickened plot.One wants at lastTo cede the fieldTo tamariskAnd mastic tree,To olive and stone,Stones in the fruit,Seed in the stones.","Accepting simplicity and nature’s enduring wisdom offers a deeper understanding than striving for fleeting, constructed significance."
"If things were worse, this cursed rainwould soak me unto sickness,so Samuel Sewall might havewritten in his vespers journal.I have it on my writing deskinside. For three days I havelabored with a saw and planeand many boards to make my girla swingset near her mother’slilac shrubs, as rain has drizzledcold and meaningless. Howcoherent was his world of worksand days, when Plentifull Rainsmight connote a comingprovidence—so Sewall notesof Her Majesty’s Court, Junethe eighteenth, seventeen twelve.            We are well satisfyed with the Layin out            of our Money—","The passage explores disillusionment and the fading relevance of Puritan ideals amidst a pointless, dreary existence marked by unproductive labor."
"It’s no use Mother dear, Ican’t finish myweaving            You mayblame Aphrodite soft as she is she has almostkilled me withlove for that boy",Unrequited longing and overwhelming passion lead to a poignant acknowledgment of futile effort and the destructive power of desire.
"for the eyes of the children,the last to melt,the last to vaporize,for the lingeringeyes of the children, staring,the eyes of the children ofbuchenwald,of viet nam and johannesburg,for the eyes of the childrenof nagasaki,for the eyes of the childrenof middle passage,for cherokee eyes, ethiopian eyes,russian eyes, american eyes,for all that remains of the children,their eyes,staring at us, amazed to seethe extraordinary evil inordinary men.","A haunting reminder that humanity’s capacity for cruelty endures across generations and cultures, demanding recognition of our shared potential for darkness."
"Upon the plain as I rode all alone, Assaulted by two sturdy lads I was; I am a poor man Sires, let me be gone.  Nay, but ye shall be poor before ye pass.       And so I was: yet lost nothing thereby.       Would they had robbed me of my poverty.  ﻿","The poem’s core reveals a quiet triumph over adversity, suggesting contentment and acceptance of fate's capricious nature."
They put me in a dead boy’s clothes dead JosephExcept he wasn’t dead at first they putMe in his clothes dead Joseph’s     after JosephDied and I used to call him Joe     they putMe in   Joe’s clothes at first before he diedJoe wasn’t five yet when I met him      IWas seven     I was seven when he diedStill but a whole year bigger then but IWore his clothes still and the whole year I lived withMomma Varina      and with daddy JeffI never lived so good as when I lived withThem and especially it was daddy JeffWho kept me fed and wearing those nice clothesUntil they fit as tight as bandages,"Loss and identity intertwine, exploring the profound impact of grief on a child’s sense of self through inherited garments and familial connection."
"We havea microsopic anatomyof the whalethisgivesManassuranceWilliam Carlos WilliamsWe have   a map of the universefor microbes,we havea map of a microbefor the universe.we havea Grand Master of chessmade of electronic circuits.But above allwe havethe abilityto sort peas,to cup water in our hands,to seekthe right screwunder the sofafor hoursThis   gives uswings.","Human significance resides not in grand knowledge or power, but in small, grounded moments of connection and simple acts."
"It's not exile, homes and families behind us, where we meet. It happens anywhere,          now: a stateless state of no name, quietly seceding from the crumbling empires round us, without stamps or Eurovision entries. No-one does it with a rough guide in a week.          You inhabit it or nothing. Like this: in a pavement cafe you blink and you seem to surprise them, the crowd, all its separate faces at once, coming out of solution like crystals,          like a rush of starlings or the breeze that lifts the canvas awning now and dents your cappuccino froth with a crisp little sound. And that's it: between breaths, just between you and me          as if; yes, QED. You are received. This is the freedom of the city, and the key to the kingdom, and its borders ripple outwards like a frill of breaking wave          onto flat sand, a wavering line already fading leaving spume-flecks high and dry, a prickling on your palm; you're five years old, looking up at the whole sea,          unsure:                   will you laugh or cry?","Transient existence finds belonging in unexpected moments, offering profound freedom through connection and acceptance within the boundless urban landscape."
"When they did greet me Father, sudden AweWeigh'd down my spirit! I retired and kneltSeeking the throne of grace, but inly feltNo heavenly visitation upwards drawMy feeble mind, nor cheering ray impart.Ah me! before the Eternal Sire I broughtThe unquiet silence of confused ThoughtAnd shapeless feelings: my o'erwhelmed HeartTrembled: & vacant tears stream'd down my face.And now once more, O Lord! to thee I bend,Lover of souls! and groan for future grace,That, ere my Babe youth's perilous maze have trod,Thy overshadowing Spirit may descendAnd he be born again, a child of God!","Deeply humbled by divine encounter, the speaker’s desperate plea reveals humanity’s inherent inability to grasp ultimate grace without divine intervention."
"Grasping for straws is easier;You can see the straws.“This most excellent canopy, the air, look you,”Presses down upon meAt fifteen pounds per square inch,A dense, heavy, blue-glowing ocean,Supporting the weight of condorsThat swim its churning currents.All I get is a thin stream of it,A finger’s width of the rope that ties me to lifeAs I labor like a stevedore to keep the connection.Water wouldn’t be so circumspect;Water would crash in like a drunken sailor,But air is prissy and genteel,Teasing me with its nearness and pervading immensity.The vast, circumambient atmosphereAllows me but ninety cubic centimetersOf its billions of gallons and miles of sky.I inhale it anyway,Knowing that it will hurtIn the weary ends of my crumpled paper bag lungs.                                                                                                                          July, 1988","A poignant meditation on fragility, acknowledging the tenuousness of existence within an indifferent, immense, and ultimately limiting world."
"1When the loons cry,The night seems blacker,The water deeper.Across the shore:An eyelash-charcoalFringe of pine trees.2The lake reflectsIndefinite pewter,And intermittent thunderLets us knowThe gods are arriving,One valley over.3After the longMelancholy of the fall,One longs for the crispBrass shout of winter—The blaze of firewood,The window’s spillOf parlor lamplightAcross the snow.4Flaring like a matchDropped in a dry patch,One sunset tellsThe spectrum’s story.See the last hunter’sFlashlight dimAs he hurries homeTo his lighted window.",Seeking solace and renewal through nature's stark beauty as the transition from autumn's sadness to winter’s crisp clarity offers a profound sense of hope.
"Is it only when you’re littleyou know tigers live in your closet—one with your shoes on his two ears,another with your umbrella tied to his tail;the rest wearing your red coatand blue trousers with the red buttons?Is it only when you’re littlethe dustballs have mountainous shadowsin the crack of light under the door?Or is it also NOW you fear that tigers will eat you—when you wake in the middle of the nightand don’t know where you are,nor remember how far you’ve come.Your nose hurts like a plowed field,your fingers stiff—Then somehow, you remember what you’ve accomplished.The sewing is finished—The red buttons threaded to the blue pantsand the little coat with its sleeves.And you know you have given them to the tigers(so they won’t eat you).But they chased themselves around a treeand melted into butter.NOW you can pick up your coat and trousers,your shoes and umbrella.Soon, even, you can start your car and go—The promise of dawn alreadyon the faceof the clock-radio.","Childhood fears transform into realized potential, demonstrating how confronting anxieties ultimately leads to self-discovery and a renewed sense of agency."
"I see a beautiful gigantic swimmer swimming naked through the eddies of the sea, His brown hair lies close and even to his head, he strikes out with courageous arms, he urges himself with his legs, I see his white body, I see his undaunted eyes, I hate the swift-running eddies that would dash him head-foremost on the rocks. What are you doing you ruffianly red-trickled waves? Will you kill the courageous giant? will you kill him in the prime of his middle-age? Steady and long he struggles, He is baffled, bang’d, bruis’d, he holds out while his strength holds out, The slapping eddies are spotted with his blood, they bear him away, they roll him, swing him, turn him, His beautiful body is borne in the circling eddies, it is continually bruis’d on rocks, Swiftly and out of sight is borne the brave corpse.","The poem embodies futile struggle against relentless, destructive forces, ultimately leading to inevitable demise and a tragic loss."
"O darling, the moon did not disrobe you.You fell asleep that way, nudeand capsized by our wine, our Bump‘n’ Grind shenanigans. Blame iton whatever you like; my bed welcomes whomever you decide to be: thug-mistress, poinsettia, John Doe in the alcove of my dreams. Youcan quote verbatim an entire albumof Bone Thugs-n-Harmonywith your ass in the air. There’s nothingwrong with that. They mince syllablesas you call me yours. You don’t like me but still invite me to your homewhen your homies aren’t nearenough to hear us crash into each other like hours. Some men have killed their lovers because they loved themso much in secret that the secret kept coming out: wife gouging her husband with suspicion, churches sneeringwhen an usher enters. Never mind that.The sickle moon turns the sky into a man’s mouth slapped sideways to keep him from spilling what no one wouldunderstand: you call me God when it gets good though I do not exist to you outside this room. Be yourself or no one else here. Your do-rag is camouflage-patterned and stuffed into my mouth.","This intense exchange explores the complexities of desire, ownership, and unspoken truths within a volatile, boundary-blurring relationship."
"She considers a field. She considers a field and buys it. Let her have the fruit of her hands. We come down from the mountains. Yellow trees, green trees. I was leaving Earth but, before I did, I had to get rid of all my animals. My main one, my main model for behavior, was my snake. He was attached to the bottom of my foot but had become dangerous seeming and I was afraid he would bite me if he got the chance. My sister was there and I said, “Before I leave, I have to get rid of all my animals,” thinking maybe she’d help me. I said, “My horse, my frog, my snake…” but didn’t mention I was worried about how to dislodge my snake safely. As I was waking up, I thought of going to a place where they could give the snake a shot to knock it out or even kill it before they tried to get it off my foot. Which seemed like a pretty good idea, though inconvenient.",A desperate attempt at control and self-sufficiency masks underlying anxieties about vulnerability and impending departure from life's familiar patterns.
"The evening darkens over After a day so bright The windcapt waves discover That wild will be the night. There’s sound of distant thunder. The latest sea-birds hover Along the cliff’s sheer height; As in the memory wander Last flutterings of delight, White wings lost on the white. There’s not a ship in sight; And as the sun goes under Thick clouds conspire to cover The moon that should rise yonder. Thou art alone, fond lover.","Lost love and fading beauty intertwine, creating a poignant sense of isolation and melancholic acceptance of an ending."
"New Year’s morning—everything is in blossom!      I feel about average.   A huge frog and I   staring at each other,      neither of us moves.   This moth saw brightness   in a woman’s chamber—   burned to a crisp.   Asked how old he was   the boy in the new kimono      stretched out all five fingers.   Blossoms at night,   like people   moved by music   Napped half the day;   no one   punished me!Fiftieth birthday:   From now on,   It’s all clear profit,      every sky.   Don’t worry, spiders,   I keep house      casually.   These sea slugs,   they just don’t seem      Japanese.Hell:   Bright autumn moon;   pond snails crying      in the saucepan.",Acceptance of life's fleeting moments and unexpected beauty amidst ordinary experiences and inevitable decline.
"Who can say now,“When I was young, the country was very beautiful?Oaks and willows grew along the riversand there were many herbs and flowering bushes.The forests were so dense the deer slipped throughthe cottonwoods and maples unseen.”Who would listen?Who will carry even the vicarious tone of that time?In the old days                        age was honored.Today it’s whim,                         the whelp without habitat.Who will now admit                            that he is either old or youngor knows anything?All that went out with the forests.",Loss of connection to nature and wisdom represents a profound societal shift where youthfulness and fleeting trends overshadow genuine experience and respect for tradition.
"""I see you,"" she says—one of the flickering homeless with grayalehouse hair, pale blue eyes, crunchy lips—a methadone-troubled moth by the YMCA—but whodoes she see?—is it the chubby, right-handed schoolboysent out by the nunsat St. Joseph's to clap the chalkboard erasers clean?Or the giddyteenage shipping clerk at lunch break smoking pot for the first timebehind a curtain factoryshed? Perhaps the middle-aged mortgagee? Maybe an ex-proofreader in lawyerland or betraying husband?Maybe the good loser? How about the new father smiling in tears?Why notthe complainer's ally, or the devoted wanker,or the inertdoubter, or the annoyancer or toddler?—if not the circumspect bald man,crank, or unselfish lecturer—or does she see each of them?—maybe each would likea lantern to carry;tho there are nowherenear enough lampsfor all.","The poem explores the elusive nature of perception and empathy, questioning whether genuine connection can truly encompass diverse human experiences."
"Somewhere or other there must surely be  The face not seen, the voice not heard,The heart that not yet—never yet—ah me!  Made answer to my word.Somewhere or other, may be near or far;  Past land and sea, clean out of sight;Beyond the wandering moon, beyond the star  That tracks her night by night.Somewhere or other, may be far or near;  With just a wall, a hedge, between;With just the last leaves of the dying year  Fallen on a turf grown green.","A persistent, aching longing for an elusive connection—a lost love or ideal—forever beyond reach and understanding."
"We didn’t like each other, but Lynn’s mother had died, and my father had died.Lynn’s father didn’t know how to talk to her, my mother didn’t know how to talk to me, and Lynn and I didn’t know how to talk either.A secret game drew us close: we took turns being the prisoner, who stood, hands held behind her back,while the captor, using an imaginary bow, shot arrow after arrow after arrow into the prisoner’s heart.","Shared grief forged a fragile connection between strangers, manifested in a poignant and unsettling ritual of simulated conflict and release."
"In a movie I have never seen: a small-town drunkstumbles into a beam of light & wakes up convincedhe was abducted by aliens, convinced a hole opened in the sky& swallowed him — said they did something strange to his bodysome kind of experiment, said a hole opened, said cold lightcauterized him shut, redefined that red theory, chrome instrumentturned him into a skinless puzzle, a scrambled eggsealed back into its shell. Madness, too, can be accumulative.When my blood seemed uncontrollable, ran messy with pulpdown their fingers, my cousins finally left the room, laughingclosing the basement door behind them.","The unsettling experience fractures reality, revealing the fragility of identity and the isolating power of delusion amidst familial indifference."
"Thou art my lute, by thee I sing,—      My being is attuned to thee. Thou settest all my words a-wing,      And meltest me to melody.   Thou art my life, by thee I live,      From thee proceed the joys I know; Sweetheart, thy hand has power to give      The meed of love—the cup of woe.   Thou art my love, by thee I lead      My soul the paths of light along, From vale to vale, from mead to mead,      And home it in the hills of song.   My song, my soul, my life, my all,      Why need I pray or make my plea, Since my petition cannot fall;      For I’m already one with thee!","Complete union and transcendent love define this work, where the speaker finds existence solely through connection with their beloved."
"It was a misunderstanding.I got into bed, made lovewith the woman I found there,called her honey, mowed the lawn,had three children, paintedthe house twice, fixed the furnace,overcame an addiction to blue pills,read Spinoza every nightwithout once meeting his God,buried one child, ate my shareof Jell-o and meatloaf,went away for nine hours a dayand came home hoarding my silence,built a ferris wheel in my mind,bolt by bolt, then it brokejust as it spun me to the top.Turns out I live next door.","The text explores a life of quiet desperation and illusion, revealing profound loneliness despite seemingly fulfilling routines and fabricated contentment."
"I’m going to look at my watchthough I don’t really care what time it is.Just slightly curious.It’s funny when you seeit’s much earlier or laterthan you thought,but even funnier when it’s exactlythe time you thought.But at my back etc.Etc. being“Desarts of vast Eternity.”I give up.It’s eleven eleven.What ever happensat eleven eleven?Vast eternity!",The poem explores the human desire for meaning and purpose amidst the seemingly absurd repetition of existence and time.
"At the top of a hill each morning,I wait for the bus by the donut store.Its pink sign looks hot,curls, like a rope, a stem to a brain.You turn toward a jadeat the height of your neighborhood,stop at a light in its gut.The sun starts to seep up,reaching all grasses and grooves of the city.A white bus with black windows passes.A few minutes later, the city bus arrives like a room.It crawls warm and dull to the west edge,breathing its heat, a few baby handswarming wide glass.The billboard at my stop displays a large number to call.A man walks his sniffing dog below it,sharp legs brushing wild onion.At the base of the hill,I enter my code,push the gray gate open,allow the worn loop of my bagdown my arm, walk to my station.I drop the metal end of a hoseinto a bucket, turn the tough faucet.Traveling after the sound,the cold rushes outfull force from the rubber,breaking into itself, interrupting and fillingthe round plastic space.Hungry, I pick up the water.","Routine and quiet contemplation define an ordinary life marked by small, repetitive actions and a subtle yearning for connection."
"What a surprise it is to hearthat locusts come the thirteenth yearand not the seventeenth as toldfor ages and enshrined in oldfolklore and rhymes and family lies.The species similar otherwise:cicadas books call periodic,found here in our southern district.They grow from eggs pressed into twigs.The nymphs that hatch then start to digat least ten inches into soil,and live by sucking juicy oilfrom roots and stems, sweet sapthat nourishes through the giant nap,and then the lucky thirteenth yearthey grow a polished armorand crawl into the summer airand, louder than a Mahler choir,fill meadow, hedge, and orchard grovewith necessary calls for love,then leave their eggs to fortune's whimwith Philip Glass-like requiem.","Unexpected revelations disrupt long-held beliefs about cyclical nature, revealing truth beyond inherited narratives and assumptions."
"The streets ram themselves into coochies:sodden women with bamboo for backs& taffy for sex. Both sweet & sour.Star-cloaked women who don’t bendor break. Who catch Hondas right in they grills.Women with electric-pink hoofs that dragin the slow churn of the intersection. Clogthe sidewalks. Metastasize along the corridorof Main Street. They have come to settlearound the bend of this corner. Poseunder carnival-like car lights at just nine-thirty.Note: It ain’t even prime time & they got all thatgood-good going on sale. The gully accordion,their arms sway in & out of tempo with traffic.They stagger in & out of the busted frame of Pop’sGrocery neon-blue open sign. Their smoke-thin throatsglitter when they slip into the ringing center of the motel lobby.Strangled light bubbles & soaps along their jaws like melted crayonsthrough the Plexiglas. A rush of shade strainsagainst their nylon-clamped thighs, rides up their hips& dangles around their soft bellies as they saunter on in.They be harvested sounds for the replay later this evening.When they got to make it do what it do. When they got tocash they own checks. Trace dollar signs into ceilings — signalscut with their zirconia-encrusted toes.Giggle & grunt at all the right momentsfor the Best in Show.","Ephemeral encounters reveal a seductive, yet ultimately futile, pursuit of fleeting pleasure and material gain within a distorted urban landscape."
I am the manWhose name is mudBut what’s in a nameTo shame one who knowsMud does not stainClay he’s made ofDust Adam became—The dust he was—Was he his name,"Identity is ultimately fluid and constructed, reliant on perception rather than inherent essence or imposed labels."
"And when her son never returnedfrom the meant-to-crush-him camps, the crucible of Poland,always-hard-at-work Isa slept for endless hours,and once, under her lids, she was led, by diligent female Virgils,to a vast meadow where an inspirited Isa embraced,one by one, countless women who remainedin mourning for their cherished sons. Gallant and stricken,together the myriad bereaved but defiant women formedan ever-widening circle, prodigal with bitter tears,and then, suddenly, like a jackdaw dartingfrom eave to sun-drenched eave, something flew between the throatsof the grieving, heart-gutted mothers,and a great beauty arose: In the dream, Isa recalled,the singing of the harrowed women with war-taken sonshushed the world's barrenness. In the dream, the startling river of soundaltered the embattled earth.",Loss and remembrance fuel collective resilience as women find solace and strength in shared mourning for their fallen sons.
"Although the windblows terribly here,the moonlight also leaksbetween the roof planksof this ruined house.","Fragile beauty persists amidst decay and loss, offering a poignant glimpse of solace in an otherwise desolate existence."
"Look at me now, I stand before you, a man       whom life has made a gullible skeptic.Life so obvious and strange,            so full of marvels and drosseven in our sleep we create monuments                even in our graveWhat more can we askthan to never know what to expect        Each day has a different emissaryYesterday she was sharp-eyed",The poem explores the unsettling realization of human vulnerability and the inherent unknowability of existence.
"(Kyoto)CONFIDENCE       (after Bashō)Clouds murmur darkly,it is a blinding habit—gazing at the moon.TIME OF JOY       (after Buson)Spring means plum blossomsand spotless new kimonosfor holiday whores.RENDEZVOUS       (after Shiki)Once more as I waitfor you, night and icy windmelt into cold rain.FOR SATORIIn the spring of joy,when even the mud chuckles,my soul runs rabid,snaps at its own bleeding heels,and barks: “What is happiness?”SOMBER GIRLShe never saw firefrom heaven or hotly foughtwith God; but her eyessmolder for Hiroshimaand the cold death of Buddha.","The collection explores fractured spiritual searching and disillusionment amidst beauty, questioning existence through stark contrasts and profound sorrow."
"On hot days we would see them leaving the hive in swarms. June and I would watch them weave their way through the sugarberry trees toward the pond where they would stop to take a drink, then buzz their way back, plump and full of water, to drop it on the backs of the fanning bees. If you listened you could hear them, their tiny wings beating in unison as they cooled down the hive. My brother caught one once, its bulbous body bursting with water, beating itself against the smooth glass wall of the canning jar. He lit a match, dropped it in, but nothing happened. The match went out and the bee swam through the mix of sulfur and smoke until my brother let it out. It flew straight back to the hive. Later, we skinny-dipped in the pond, the three of us, the August sun melting the world around us as if it were wax. In the cool of the evening, we walked home, pond water still dripping from our skin, glistening and twinkling like starlight.﻿",Fleeting connection and instinctive return represent a poignant exploration of life’s delicate balance between freedom and belonging.
"What of her glass without her? The blank gray    There where the pool is blind of the moon’s face.    Her dress without her? The tossed empty space Of cloud-rack whence the moon has passed away. Her paths without her? Day’s appointed sway    Usurped by desolate night. Her pillowed place    Without her? Tears, ah me! for love’s good grace, And cold forgetfulness of night or day. What of the heart without her? Nay, poor heart,    Of thee what word remains ere speech be still?    A wayfarer by barren ways and chill, Steep ways and weary, without her thou art, Where the long cloud, the long wood’s counterpart,    Sheds doubled darkness up the labouring hill.","Loss creates a profound emptiness, leaving behind only desolate surroundings and a silenced, directionless heart yearning for what is gone."
"I can’t get rid of useful thingsand nobody wants to pick them up,I keep forgetting where I lay my umbrella. I don’t leave footprints in the snow anymore,we haven’t had a war on domestic soil in so longI wonder if I still got it. Because once I had it. I heard about a boy who once tied a string to his brother,he tied his brother to the ocean and the ocean to the blackbird— from the ground all the birds look like blackbirdsfrom the ground a Stealth Bomber looks like a spaceship. The aliens are coming,they walk through birthday partiesand basically go unnoticed. And this is kind of how I go through life,once I heated up a spoon in the microwavethe fish have so much mercury in them they spark. I was handed a bayonet from the Civil Warand a copper penny corroded with rust.When they take the Statue of Liberty apart to clean herher neck explodes with a million little spiders. Meanwhile in a forest somewheresomeone cut open my grandmother’s bellyand filled it with bricks something is coming soonI keep a bucket of lambs bloodby the front door.","A profound sense of detachment and fading identity emerges, haunted by lost connections and unnoticed intrusion into an increasingly surreal world."
